product_id,handle,title,vendor,status,tags,current_product_type,current_category,suggested_product_type,suggested_category_id,suggested_category_name,rule,confidence,needs_review
9604288577857,zinc-hierbas-naturales-primera-defensa-para-ninos-de-child-life-apoyo-inmunologico-fuerte-y-equilibrado-liquido-de-118-ml,Zinc + Hierbas Naturales - Primera Defensa para Niños de Child Life | Apoyo Inmunológico - Fuerte y Equilibrado | Líquido de 118 ml,Vitaminate,ACTIVE,0 a 3 Años | Child Life | combinados-de-hierbas | descuento-10 | Hierbas | Indiferente | Niños | Salud infantil | Sin azúcar | Sin gluten | Sin lactosa | Suplementos herbales | Vegano | Vegetariano,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9615649669441,zinc-plus-liquido-suplemento-dietario-sistema-inmunologico,"Zinc Plus Líquido de ChildLife | Favorece el crecimiento y desarrollo infantil, sistema inmune | 118 ml",Vitaminate,ACTIVE,descuento-10 | duracion 50 | Indiferente | Minerales | Sistema inmunitario,Suplemento dietario,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Minerals,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9624199102785,zinc-caps-de-alta-potencia-50mg-de-life-extension-apoyo-cardiovascular-y-del-sistema-inmune-90-capsulas-vegetarianas,Zinc Caps de alta potencia 50mg de Life Extensión | Apoyo Cardiovascular y del Sistema Inmune | 90 cápsulas vegetarianas,OLSEGO GROUP,ACTIVE,+18 Años | Adultos | descuento-10 | duracion 90 | Indiferente | Life Extension | Minerales | PRO | Sin azúcar | Sin gluten | Sin lactosa | Sistema cardiovascular | Sistema inmunitario | Vegano | Vegetariano | zinc,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9645216399681,zinc-ionico-liquido-50mg-de-trace-minerals-refuerza-el-sistema-inmunologico-es-esencial-para-el-crecimiento-y-desarrollo-fisico-favoreciendo-la-cicatrizacion-de-heridas-59ml,"Zinc Iónico Líquido 50mg de Trace Minerals | Refuerza el sistema inmunológico, es esencial para el crecimiento y desarrollo físico, favoreciendo la cicatrización de heridas | 59ml",Vitaminate,ACTIVE,+18 Años | Adultos | Cloruro de Magnesio | duracion 47 | Indiferente | Minerales | Sin azúcar | Sin gluten | Sin lactosa | Sistema inmunitario | Trace Minerals | Vegetariano | zinc,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9651474661697,zinc-500mg-de-flow-supplement-apoyo-de-la-funcion-cardiovascular-y-del-sistema-inmune-60-capsulas-vegetales,ZINC 500mg de Flow Supplement | Apoyo de la función cardiovascular y del sistema inmune | 60 cápsulas vegetales,Flow Supplements,ACTIVE,+18 Años | Adultos | descuento-15 | duracion 60 | Flow Supplement | Indiferente | Keto | Minerales | PRO | Sin azúcar | Sin gluten | Sistema cardiovascular | Sistema inmunitario | vitadeals | zinc,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9662998970689,zinc-suplemento-alimentario-salud-cardiovascular-sistema-inmune,Z Blend B Life Zinc Colágeno e Hidrolizado y Vitamina C | 200 cápsulas,Blife,ACTIVE,+18 Años | Adultos | B-Life | colageno | Colágeno Hidrolizado | descuento-15 | duracion 100 | Indiferente | Minerales | Sin azúcar | Sin gluten | Sin lactosa | Sistema cardiovascular | Sistema inmunitario | vitadeals | Vitamina C | Zinc,,Uncategorized,Colágeno,gid://shopify/TaxonomyCategory/hb-1-9-6-2,Collagen,colageno,alta,no
9664841515329,zinc-vitamina-b1-y-b6-250mg-de-5h8-nutrition-zn-20-refuerza-el-sistema-inmune-la-piel-energia-120-capsulas-vegetales,"Zinc, Vitamina B1 y B6 250mg de 5H8 Nutrition ZN 20 | Refuerza el Sistema Inmune, la Piel - Energía | 120 Cápsulas",5H8 Nutrition,ACTIVE,+18 Años | 5H8 Nutrition | Adultos | descuento-10 | duracion 120 | Indiferente | Minerales | Potenciar la energía | Sin azúcar | Sin gluten | Sin lactosa | Sistema inmunitario | Vegano | vitadeals | Vitamina B1 (Tiamina) | Vitamina B6 (Piridoxina) | zinc,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,combo-1+1 (ZINC/VIT_B),media,si
9692182479169,zarzaparrilla-hierba-500mg-de-adapto-heal-bienestar-digestivo-y-urinaria-150-capsulas-vegetales,Zarzaparrilla 500 mg Adaptoheal | Bienestar Digestivo y Urinaria | 150 Cápsulas Vegetales,AdaptoHeal,ACTIVE,+18 Años | AdaptoHeal | Adultos | Hierbas | Indiferente | Salud digestiva | Salud urinaria | Sin azúcar | Sin gluten | Sin lactosa | Suplementos herbales | Vegetariano | vitadeals | Zarzaparrilla,,Uncategorized,,gid://shopify/TaxonomyCategory/hb-1-9-6,Vitamins & Supplements,sin-senal,baja,si
9726795809089,zinc-ionico-liquido-3mg-de-mary-ruths-refuerza-el-sistema-inmunologico-esencial-para-el-crecimiento-y-desarrollo-fisico-gotero-de-120ml-sabor-fresa-limon,"Zinc Iónico Líquido 3mg de Mary Ruth's |  Refuerza el sistema inmunológico, esencial para el crecimiento y desarrollo físico | Gotero de 120ml Sabor Fresa Limón",Vitaminate,ACTIVE,+18 Años | Adultos | Cloruro de Magnesio | descuento-10 | duracion 40 | Indiferente | MaryRuth's | Minerales | Sin azúcar | Sin gluten | Sin lactosa | Sistema inmunitario | Trace Minerals | Vegano | Vegetariano | zinc,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9726817763649,zinc-liposomal-mora-azul-18mg-vitamina-e-de-mary-ruths-fortalece-el-sistema-inmune-liquido-de-450ml-sabor-arandano-30-servicios,"Zinc Liposomal Mora Azul 18mg + Vitamina E de Mary Ruth's | Fortalece el Sistema Inmune | Líquido de 450ml - Sabor Arándano, 30 servicios",Vitaminate,ACTIVE,+18 Años | Adultos | Cloruro de Magnesio | Cuidado del cabello | descuento-10 | duracion 30 | Indiferente | MaryRuth's | Minerales | piel y uñas | Sin azúcar | Sin gluten | Sin lactosa | Sistema inmunitario | Trace Minerals | Vegano | Vegetariano | zinc,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,combo-1+1 (ZINC/VIT_E),media,si
9732242899265,zinc-ionico-organico-3mg-para-ninos-de-mary-ruths-apoya-el-crecimiento-y-desarrollo-saludable-gotero-de-60ml-sabor-a-baya-30-servicios,Zinc Iónico Orgánico 3mg Para Niños de Mary Ruth's | Apoya el crecimiento y desarrollo saludable | Gotero de 60ml Sabor a Baya - 30 servicios,Vitaminate,ACTIVE,0 a 3 Años | Cuidado del cabello | descuento-15 | duracion 30 | Indiferente | MaryRuth's | Minerales | Niños | piel y uñas | Salud cognitiva | Sin azúcar | Sin gluten | Sin lactosa | Sistema inmunitario | Vegano,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9769379168577,z-max-quelato-de-aminoacido-de-zinc-de-kal-sistema-inmunologico-bienestar-de-la-piel-equilibrio-hormonal-antioxidante-100-tabletas,"Z Max Quelato de Aminoácido de Zinc de KAL | Sistema inmunológico, Bienestar de la piel, Equilibrio hormonal, Antioxidante | 100 tabletas",Fresh Vitamins,ACTIVE,descuento-20 | duracion 30,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9797163483457,zinc-polen-de-abeja-y-extracto-de-baya-saw-palmetto-con-vitaminas-y-minerales-de-michaels-health-apoyo-de-la-funcion-prostatica-en-hombres-y-el-sistema-urinario-60-tabletas-vegetarianas,"Zinc, Polen de Abeja y Extracto de baya Saw Palmetto con Vitaminas y Minerales de Michael's Health | Apoyo de la función prostática en hombres y el sistema urinario | 60 tabletas vegetarianas",Vitaminate,ACTIVE,descuento-10,,Uncategorized,Zinc,gid://shopify/TaxonomyCategory/hb-1-9-6-6-5,Zinc,mineral-ZINC,alta,no
9884874047809,zerodol-palmitoiletanolamida-500-mg-ivb-wellness-lab-60-capsulas,ZeroDol Palmitoiletanolamida 500 mg | IVB Wellness Lab | Bienestar articular y muscular | 60 Cápsulas,OLSEGO GROUP,ACTIVE,duracion 60 | PRO | vitadeals,,Uncategorized,,gid://shopify/TaxonomyCategory/hb-1-9-6,Vitamins & Supplements,sin-senal,baja,si
9935922266433,probioticos-200-billones-ufc-digestion-e-inmunidad-200-capsulas,Probióticos 200 Billones UFC Eternal Nutrition | Digestión e Inmunidad | 200 cápsulas,Eternal,ACTIVE,duracion 100,,Uncategorized,Probióticos,gid://shopify/TaxonomyCategory/hb-1-9-6-4-5,Probiotics,probiotico,alta,no
