SKU,EAN,ABC,Nombre,Marca,Proveedor,Estado,Stock_Real,Stock_Futuro,Dias_Inv,Compra_Sug,R_Shop,R_Meli,R_TikTok,R_Final
VHMX02106,657628668572,C,Magnesio Neuro  L- Treonato de Magnesio de Briah | Función cognitiva | 60 cápsulas blandas,Briah,OLSEGO GROUP,CUBIERTO,11,11,165,0,0.0056,0.0203,0.0667,0.0667
VHMX00207,733739047373,C,"Extracto de Cardo Mariano 150 mg, Silimarina (120 mg), con Cúrcuma de NOW Foods  | Apoyo a la Función Hepática | 120 Cápsulas Vegetarianas",NOW Foods,OLSEGO GROUP,CUBIERTO,12,12,192,0,0.0625,0,0,0.0625
VHMX00185,733739033475,C,"Ácido Caprílico 600 mg de NOW Foods - Triglicéridos de Cadena Media (MCT) 1,000 mg de Aceite MCT | Favorece la absorción de nutrientes al optimizar el proceso digestivo  | 100 Cápsulas Blandas",NOW Foods,OLSEGO GROUP,CUBIERTO,13,13,195,0,0.0333,0,0,0.0667
VHMX02521,657628668657,C,Duo Maca negra peruana de briah | Energía diaria masculina,Briah,OLSEGO GROUP,CUBIERTO,7,7,210,0,0,0.0113,0,0.0333
VHMX02590,605069027014,C,"Menocare Himalaya | Favorece el equilibrio femenino diario, acompaña cambios hormonales naturales | 120 cápsulas vegetales",Himalaya,OLSEGO GROUP,CUBIERTO,7,7,210,0,0,0.0333,0,0.0333
VHMX02632,8437025981038,C,Vita C 500 de IVB | Protección Celular y al Daño Oxidativo | 60 Cápsulas,IVB,OLSEGO GROUP,CUBIERTO,8,8,240,0,0.0111,0.0333,0,0.0333
VHMX02618,8437025981489,C,LactaNatal de IVB | Multivitamínico y mineral Apoyo a la Lactancia Materna | 60 Cápsulas,IVB,OLSEGO GROUP,CUBIERTO,9,9,270,0,0.0333,0,0,0.0333
VHMX02620,8437025981083,C,"Metabolic-Max de IVB | Berbevis®, Gimnema, Cardo mariano, Piperina y Cromo| 60 Cápsulas",IVB,OLSEGO GROUP,CUBIERTO,10,10,300,0,0.0333,0,0,0.0333
VHMX02625,8437025981465,C,Sticks de sabores de IVB | Para personalizar el sabor de tus complementos en polvo | 10 sobres,IVB,OLSEGO GROUP,CUBIERTO,8,8,480,0,0.0167,0,0,0.0167
VHMX00432,87614110547,B,Vitamina C 1000 mg con Rosa Mosqueta Swanson  | Apoya el sistema inmunológico y ayuda en la absorción de hierro | 90 cápsulas vegetales,Swanson,Superlabs,CUBIERTO,9,9,108,0,0.05,0,0.0111,0.0833
VHMX01288,733739006851,B,"Vitamina C-1000 con Rosa Mosqueta y Bioflavonoides, 1000 mg, de NOW Foods | Protección Antioxidante para el Sistema Inmunológico | 100 Tabletas Vegetales",NOW Foods,OLSEGO GROUP,CUBIERTO,12,12,120,0,0,0,0.0667,0.1
VHMX02512,657628668671,B,Magnesio Súper Complex | 4 tipos de Magnesio + Vitamina b6 | 60 Cápsulas,Briah,OLSEGO GROUP,CUBIERTO,8,8,120,0,0.0333,0.0222,0.0222,0.0667
